,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
172,hithadhoo,88,MV,1527098874,100,-0.6,73.08,82.62,8.01
173,kandrian,0,PG,1527098874,96,-6.21,149.55,75.33,3.98
174,ishigaki,32,JP,1527098875,100,24.34,124.16,78.3,10.02
175,port alfred,0,ZA,1527098875,88,-33.59,26.89,67.5,9.01
176,faya,0,SA,1527094800,16,18.39,42.45,77,6.93
177,noyabrsk,12,RU,1527098875,85,63.2,75.45,24.84,2.75
178,provideniya,76,RU,1527098875,100,64.42,-173.23,32.13,7.56
179,norilsk,80,RU,1527098876,97,69.35,88.2,31.77,3.2
180,monroe,1,US,1527097980,41,41.91,-83.4,77,3.36
181,coquimbo,20,CL,1527094800,76,-29.95,-71.34,55.4,11.41
182,saint andrews,0,NZ,1527098876,100,-44.53,171.19,31.14,5.55
184,west bay,20,GB,1527096000,49,50.71,-2.76,71.6,9.17
185,luganville,92,VU,1527098877,100,-15.51,167.18,76.77,17.18
186,odesskoye,0,RU,1527098877,45,54.21,72.97,44.28,9.01
187,san patricio,0,PY,1527098877,49,-26.98,-56.83,67.23,4.54
188,college,75,US,1527095460,76,64.86,-147.8,53.6,5.1
189,tucumcari,90,US,1527097980,60,35.17,-103.73,75.2,16.11
191,malim,80,NP,1527098878,99,26.88,88.04,66.6,1.63
192,chala,0,TZ,1527098878,85,-7.6,31.27,58.14,2.08
193,koshurnikovo,92,RU,1527098879,96,54.3,93.39,39.24,4.76
194,santa luzia,0,BR,1527094800,36,-19.77,-43.85,80.6,3.36
195,talaya,92,RU,1527098880,78,55.79,84.89,39.51,14.83
197,sulangan,20,PH,1527098880,100,11.14,123.72,85.14,15.05
198,busselton,0,AU,1527098880,100,-33.64,115.35,63.18,11.14
199,muscle shoals,20,US,1527096900,58,34.75,-87.67,86,3.36
200,pasighat,92,IN,1527098881,96,28.06,95.33,67.23,1.63
201,gadsden,1,US,1527096900,74,34.01,-86.01,82.4,4.7
202,soubre,36,CI,1527098881,84,5.79,-6.61,82.71,3.42
203,anadyr,0,RU,1527094800,92,64.73,177.51,24.8,2.24
204,punta alta,0,AR,1527094800,45,-27.46,-55.82,66.2,5.82
205,hobyo,8,SO,1527098881,82,5.35,48.53,80.37,20.31
206,lebu,92,ET,1527098882,91,8.96,38.73,56.43,3.09
207,hastings,0,NZ,1527098882,100,-39.64,176.84,45.45,11.14
208,albany,20,US,1527098040,44,42.65,-73.75,78.8,9.17
209,shar,20,NG,1527098883,75,7.3,8.73,84.33,0.74
210,kyzyl-suu,80,KG,1527098883,100,42.34,78,42.66,7
211,port blair,68,IN,1527098883,100,11.67,92.75,86.04,10.13
212,ereymentau,0,KZ,1527098883,66,51.62,73.1,39.96,7
213,upernavik,8,GL,1527098883,100,72.79,-56.15,28.53,11.14
214,srandakan,68,ID,1527098884,97,-7.94,110.25,72.72,2.08
216,slave lake,1,CA,1527094800,36,55.28,-114.77,77,10.29
217,grants pass,75,US,1527097980,50,42.44,-123.33,75.2,4.7
218,neiafu,20,TO,1527094800,94,-18.65,-173.98,68,8.57
219,san vicente,20,SV,1527094200,78,13.64,-88.78,86,4.7
220,kirakira,68,SB,1527098885,100,-10.46,161.92,80.64,12.26
222,bathsheba,75,BB,1527094800,74,13.22,-59.52,82.4,17.22
223,cape town,75,ZA,1527094800,82,-33.93,18.42,62.6,19.46
224,torres,0,BR,1527098885,92,-29.34,-49.73,63.18,5.1
225,novyy svit,8,UA,1527098886,73,47.81,38.02,66.78,4.54
226,chimore,32,BO,1527098886,74,-16.98,-65.13,72.63,3.65
227,bassano,24,CA,1527098886,33,50.79,-112.47,77.67,7.23
